UNIQID,NAME,0C12_S,0C179_S,0C167_S,0C0936_S,AP5204_S,AP10222_S,AP12366_S,AP13058_S,AP13223_S,AP14217_S,AP14398_S,BP185_S,BP355_S,BP7644_S,CP6667_S,CP9949_S,CP12361_S,CP13701_S,CP13774_S,XP139_S,XP10557_S,XP13296_S,XP13451_S,XP14399_S,XP14698_S,XP15443_S,XP170_S,XP6209_S,XP7297_S,XP9376_S,XP9875_S,XP10232_S,XP11567_S,XP14735_S,XP16942_S
#,Class,healthy,healthy,healthy,healthy,APL,APL,APL,APL,APL,APL,APL,AML-inv,AML-inv,AML-inv,AML-mono,AML-mono,AML-mono,AML-mono,AML-mono,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other,AML-other
#,Age,?,?,?,?,38,40,43,70,14,43,35,32,47,21,20,39,31,23,63,31,36,49,47,66,26,44,26,31,70,50,44,66,55,32,24
#,Sex,?,?,?,?,F,M,M,M,F,F,F,M,M,M,F,F,F,F,M,M,M,M,F,F,M,F,F,F,M,M,F,F,M,M,M
#,FAB/WHOa,?,?,?,?,M3,M3,M3,M3,M3,M3,M3,M4Eo,M4Eo,M4Eo,M5,M5,M5,M5,M5,M2,M4,M1,M2,M1,M2,M2,M1,M1,M6,M1,M0,M4,M2,M0,M1
#,Karyotype,?,?,?,?,"46,XX,t(15;17)(q12;q21)","46,XY,t(15;17)(q12;q21)","46,XY,t(15;17)(q12;q21)","47,XY,t(15;17)(q12;q21),+mar","46,XX,t(15;17)(q12;q21),idic(17)(q10)","46,XX,t(15;17)(q12;q21)","46,XX,t(15;17)(q12;q21) ","46,XY,inv(16)(p12q13)","46,XY,inv(16)(p12q13)","46,XY,t(16;20)(p13;p12)c","50,XX,+5,+8,del(11)(q21q23),+13,+14","46,XX,del(9)(q22q34)","46,XX",NM,"46,XY","50,XY,+Y,+8,+17,+20",NM,"46,XY",NM,NM,"46,XY,add(3)(q27)","46,XX",NM,"46,XX","45,X,-Y","48,XY,+8,+14","46,XX","47,XX,+3","58-63,XXY","46,XY","46,XY"
#,FISH studiesb,?,?,?,?,PML/RARa,PML/RARa,PML/RARa,PML/RARa,PML/RARa,PML/RARa,PML/RARa,CBFB/MYH11,CBFB/MYH11,CBFB/MYH11,MLL deletion,Normal,MLL rearrangement,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal ,Normal,MLL gain,Normal ,Normal
1,AFFX-BioB-5_at,6.294903,6.408961,7.106451,7.314986,6.694213,6.550143,6.207033,6.613909,6.251173,8.016043,6.551192,6.336728,6.915324,7.511665,7.329081,7.385547,6.061156,7.386072,7.860651,6.772725,8.209366,7.750796,7.757132,7.840565,8.127973,6.709881,6.504489,6.115397,7.634796,7.663137,7.091926,7.120178,7.265226,7.243112,7.83111
2,AFFX-BioB-M_at,7.71293,7.699704,8.557743,8.74966,7.805106,7.528421,7.140521,7.588993,7.29062,9.228171,7.60839,7.540492,8.088106,8.859462,8.859062,8.780268,7.260887,8.734746,9.261445,7.906347,9.578459,8.898976,9.182868,9.118299,9.309868,7.99009,7.811697,7.151092,9.337496,8.790192,8.340539,8.513334,8.410888,8.669466,9.300274
3,AFFX-BioB-3_at,6.619992,6.88554,7.59804,7.639675,6.827084,6.775998,6.476414,6.97675,6.297716,8.579064,6.74284,6.975979,7.291989,8.002874,8.071633,7.897966,6.571212,7.788226,8.362294,7.151519,8.379385,8.191215,8.313455,8.514898,8.290149,7.014372,7.095432,6.676655,8.316629,7.981691,7.507703,7.682128,7.642551,7.670193,8.301147
4,AFFX-BioC-5_at,8.085707,7.909092,9.059624,8.819587,8.562031,8.2887,8.015686,8.39037,8.041842,9.829667,8.243065,8.272536,8.690588,9.370164,9.402828,9.307781,7.788161,9.054926,9.645481,8.537785,9.783643,9.405264,9.654255,9.587741,9.618152,8.710246,8.574966,7.853189,9.819172,9.290761,9.072172,9.063529,9.073475,9.385591,9.56069
5,AFFX-BioC-3_at,7.623914,7.77122,8.438279,8.314519,7.987099,7.523173,7.322256,7.786008,7.411576,9.292973,7.757947,7.675126,7.856769,8.756884,8.871026,8.734333,7.387169,8.41549,9.17731,8.134324,9.236919,9.031086,8.879936,9.096823,9.125586,8.069575,7.953643,6.897288,9.143593,8.764853,8.436421,8.499114,8.611228,8.729703,8.911038
6,AFFX-BioDn-5_at,7.845967,7.732062,8.679445,8.810465,8.143035,8.097173,7.772572,8.190708,7.887953,9.751602,7.948866,8.263266,8.532518,9.173474,9.159002,9.102228,7.861866,9.039253,9.535046,8.748817,9.80704,9.762143,9.437447,9.990389,9.711542,8.474636,8.695497,7.490114,9.317505,9.212065,8.802691,8.874105,8.954057,9.085733,9.359672
7,AFFX-BioDn-3_at,11.170271,10.238159,11.700467,11.561583,11.436912,11.059243,10.733903,10.987646,10.754737,12.21053,11.161266,11.02685,11.296515,11.890035,11.824923,11.688283,10.721895,11.501978,12.172264,11.485163,12.275698,11.675487,12.238104,11.954257,12.269929,11.419921,11.26399,11.154609,12.075462,11.817195,11.435799,11.643428,11.620664,11.835331,11.902248
8,AFFX-CreX-5_at,11.690336,10.985007,12.246246,12.343182,11.915992,11.449832,11.279778,11.31811,11.305561,12.621864,11.760107,11.376133,11.677554,12.094003,11.947316,12.093717,11.200622,12.10053,12.618908,11.967123,12.674681,12.193784,12.550552,12.599023,12.641132,11.694378,11.680606,11.595117,12.186387,12.180759,11.775495,11.983247,11.855945,12.13876,12.245168
9,AFFX-CreX-3_at,12.265124,12.00744,12.768115,12.789332,12.560627,12.102243,11.894494,12.113556,11.94967,13.20562,12.432556,12.28627,12.201475,12.85621,12.97533,12.675949,12.153711,12.578881,13.178177,12.609859,12.967579,12.877278,13.000617,13.113371,13.051489,12.339471,12.41888,12.636731,12.831502,12.732217,12.500037,12.643365,12.512517,12.899058,12.648874
10,AFFX-DapX-5_at,3.636848,3.563022,3.600715,3.732374,3.568412,3.579753,3.596619,3.500866,3.411943,3.567233,3.916467,3.542935,3.586101,3.589442,3.498563,3.648885,3.539412,3.654994,3.65012,3.556247,3.721281,3.681262,3.78739,3.562045,3.593432,3.680557,3.549245,3.663274,3.866933,3.684872,3.534139,3.616486,3.539391,3.679209,3.528519
11,AFFX-DapX-M_at,3.911342,4.027708,4.216742,3.750602,3.935836,3.991575,3.80304,3.868602,3.902128,3.928712,4.181112,3.818534,4.175973,4.093758,4.141966,4.078861,3.844621,3.909045,3.963481,3.749364,4.014184,3.876179,4.016511,3.913253,3.950214,4.043309,3.899133,3.844529,4.456056,3.840018,4.016937,4.139147,4.100678,3.918403,3.91663
12,AFFX-DapX-3_at,3.680611,3.444356,3.534798,3.493291,3.569466,3.488843,3.408144,3.501795,3.484726,3.444944,3.794451,3.407654,3.62218,3.468259,3.73339,3.535663,3.46746,3.584319,3.409392,3.409528,3.748264,3.444001,3.567011,3.414174,3.476169,3.494481,3.534116,3.576131,3.707772,3.453859,3.573861,3.546465,3.70452,3.603659,3.709572
13,AFFX-LysX-5_at,3.481598,3.58845,3.556983,3.527118,3.578017,3.455994,3.526948,3.563677,3.488319,3.722969,3.495092,3.48568,3.381314,3.55621,3.558216,3.592134,3.552459,3.471455,3.492033,3.421877,3.522703,3.452659,3.527597,3.376397,3.539497,3.412734,3.481754,3.549547,3.788491,3.41913,3.588503,3.511202,3.743081,3.454436,3.514591
